3379996	Zombi	Zombi		4.604	-52.39292	P	PPLQ	GF		GF	973	9731	97310	0		57	America/Cayenne	2016-06-22
3379997	Zidok	Zidok	Zidok	2.25928	-52.87575	P	PPL	GF		GF	973	9731	97356	0		137	America/Cayenne	2016-06-22
3379998	Îlet Zébédé	Ilet Zebede	Ilet Zebede,Îlet Zébédé	5.6703	-53.8053	T	HMCK	GF		00				0		0	America/Cayenne	2015-07-03
3379999	Zaou Tabiki	Zaou Tabiki	Zaoe Tabriki,Zaou Tabiki,Zaou Tabriki	3.3802	-54.05585	T	ISL	GF		00				0		109	America/Paramaribo	2015-08-07
3380000	Crique Zambi	Crique Zambi	Crique Zambi,Crique Zombi	3.93615	-52.83241	H	STM	GF		00				0		70	America/Cayenne	2012-01-18
3380001	Crique Yolande	Crique Yolande	Crique Yolande	4.23967	-52.94018	H	STM	GF		00				0		111	America/Cayenne	2015-07-03
3380002	Yolande	Yolande	Yolande	4.08732	-52.93934	L	LCTY	GF		00				0		174	America/Cayenne	2015-06-08
3380003	Village Yofé	Village Yofe	Village Yofe,Village Yofé,Yofe,Yofé	5.43288	-53.67545	P	PPL	GF		GF	973	9732	97306	0		34	America/Cayenne	2016-06-22
3380004	Grand Pripris de Yiyi	Grand Pripris de Yiyi	Grand Pripris de Yiyi,Pripris de Yiyi	5.44735	-53.08864	H	MRSH	GF		00				0		2	America/Cayenne	2015-07-03
3380005	Digue Yiyi	Digue Yiyi	Digue Yiyi	5.4199	-53.05649	S	DIKE	GF		GF	973	9731	97312	0		6	America/Cayenne	2016-06-22
3380006	Crique Yiyi	Crique Yiyi	Crique Yiyi	5.54326	-53.18203	H	STM	GF		00				0		-9999	America/Cayenne	2015-07-03
3380007	Montagne Yaya	Montagne Yaya	Montagne Yaya	4.63423	-54.34149	T	HLL	GF		GF	973	9732	97360	0		169	America/Cayenne	2016-06-22
3380008	Crique Yaya	Crique Yaya	Crique Yaya	4.58073	-54.29051	H	STM	GF		00				0		49	America/Cayenne	2015-09-06
3380009	Saut Yaoua Sikoua	Saut Yaoua Sikoua	Saut Yaoua Sikoua,Saut Yawa Sikwa,Saut Yawassikoua,Yawassikwa Itou	2.31667	-52.76667	H	FLLS	GF	BR,GF	00				0		144	America/Cayenne	2009-03-07
3380010	Saut Yaroupi	Saut Yaroupi	Saut Yaroupi,Yaloupilemwa Itou,Yaroupi Moula Ito,Yaroupi Moula Itou	2.78333	-52.48333	H	FLLS	GF	BR,GF	00				0		116	America/Cayenne	2009-03-07
3380011	Rivière Yaloupi	Riviere Yaloupi	Crique Yaroupi,Riviere Yaloupi,Riviere Yaroupi,Rivière Yaloupi,Rivière Yaroupi	2.78015	-52.4792	H	STM	GF		00				0		93	America/Belem	2015-07-03
3380012	Mont Yaki	Mont Yaki	Mont Yaki,Mont Yaqui	5.41814	-53.28451	T	HLL	GF		GF	973	9731	97303	0		21	America/Cayenne	2016-06-22
3380013	Saut Yapoura	Saut Yapoura	Saut Yapoura	4.2276	-52.18401	H	RPDS	GF		00				0		23	America/Cayenne	2015-06-08
3380014	Saut Yapopéna	Saut Yapopena	Oula Oula Itou,Ouraououra Itou,Saut Yapopena,Saut Yapopéna,Saut Yawapoupe-ena,Saut Yawapoupé-èna,Yapopena Itou,Yapopéna Itou	2.7	-52.51667	H	RPDS	GF	BR,GF	00				0		125	America/Cayenne	2009-03-07
3380015	Yapimaliki Soula	Yapimaliki Soula	Yapimaliki Soula	4.08333	-54.33333	H	RPDS	GF	SR,GF	00				0		109	America/Cayenne	2009-03-07
3380016	Crique Yaou	Crique Yaou	Crique Bois Blanc,Crique Yaou	3.68398	-53.94903	H	STM	GF		00				0		108	America/Cayenne	2015-08-07
3380017	Yaou	Yaou	Montagne Couronnee,Montagne Couronnée,Yaou	3.72216	-53.96686	T	HLL	GF		GF	973	9732	97353	0		159	America/Cayenne	2016-06-22
3380018	Savane Yanou	Savane Yanou	Savane Yanou	5.4732	-53.26095	V	GRSLD	GF		00				0		8	America/Cayenne	2015-07-03
3380019	Yanou	Yanou		5.46491	-53.25669	L	LCTY	GF		00				0		23	America/Cayenne	2011-04-19
3380020	Saut Yanioué	Saut Yanioue	Saut Yanioue,Saut Yanioué	3.09204	-52.74806	H	RPDS	GF		00				0		111	America/Cayenne	2015-06-08
3380021	Mont Yanioué	Mont Yanioue	Mont Yanioue,Mont Yanioué,Mont de Yanioe	3.10327	-52.72462	T	MT	GF		GF	973	9731	97356	0		266	America/Cayenne	2016-06-22
3380022	Crique Yanioué	Crique Yanioue	Crique Yanioue,Crique Yanioué	3.08669	-52.73427	H	STM	GF		00				0		88	America/Cayenne	2015-06-08
3380023	Saut Pamaloupiaïna	Saut Pamaloupiaina	Saut Pamaloupiaina,Saut Pamaloupiaïna,Saut Pamaroupi-aena,Saut Pamaroupi-aèna,Yamakatoupiaina Itou,Yamakatoupiaïna Itou	2.53333	-52.55	H	RPDS	GF	BR,GF	00				0		116	America/Cayenne	2009-03-07
3380024	Yalou Patatpe	Yalou Patatpe	Yalou Patatpe,Yalou Patatpeu	2.54561	-54.34218	L	LCTY	GF		00				0		171	America/Cayenne	2015-08-07
3380025	Îlets Yacarescin	Ilets Yacarescin	Ilets Yacarescin,Ilets Yakaressing,Îlets Yacarescin,Îlets Yakaréssing	3.61667	-52	T	ISLS	GF	BR,GF	00				0		52	America/Cayenne	2009-03-07
3380026	Saut Wyllistain	Saut Wyllistain	Saut Wyllistain	3.4025	-53.89176	H	RPDS	GF		00				0		117	America/Cayenne	2015-08-07
3380027	Winiwé	Winiwe	Vini,Weni We,Weni Wé,Winiwe,Winiwé	3.67544	-53.96008	P	PPLQ	GF		GF	973	9732	97353	0		120	America/Cayenne	2016-06-22
3380028	Dégrad Willy	Degrad Willy		5.1776	-53.4896	S	LDNG	GF		GF	973	9731	97303	0		66	America/Cayenne	2016-06-22
3380029	Saut William	Saut William	Saut William	2.87863	-52.9627	H	RPDS	GF		00				0		135	America/Cayenne	2015-07-03
3380030	Wilfried	Wilfried		3.70994	-54.07612	P	PPL	GF		GF	973	9732	97353	0		108	America/Cayenne	2016-06-22
