935121	Plateau Wickers	Plateau Wickers		-21.0139	55.56142	T	UPLD	RE		00				0		726	Indian/Reunion	2011-04-19
935122	Vue Belle	Vue Belle		-21.07844	55.27461	P	PPL	RE		RE	974	9744	97415	0		524	Indian/Reunion	2016-06-22
935123	Ravine Vincendo	Ravine Vincendo	Ravine Vincendo,Ravine a Vincendo,Ravine à Vincendo	-21.37633	55.67567	H	STM	RE		00				0		40	Indian/Reunion	2012-01-18
935124	Pointe à Vincendo	Pointe a Vincendo		-21.38272	55.67092	T	PT	RE		00				0		30	Indian/Reunion	2011-04-19
935125	Piton Vincendo	Piton Vincendo	Piton Vincendo,Piton a Vincendo,Piton à Vincendo	-21.37958	55.66646	T	PK	RE		RE	974	9742	97412	0		124	Indian/Reunion	2016-06-22
935126	Vincendo	Vincendo	Vincendo	-21.37007	55.6777	P	PPL	RE		RE	974	9742	97412	0		152	Indian/Reunion	2016-06-22
935127	Caverne Villier	Caverne Villier		-21.03333	55.55	S	CAVE	RE		RE	974	9743	97421	0		1126	Indian/Reunion	2016-06-22
935128	Piton de Villers	Piton de Villers		-21.19031	55.57344	T	PK	RE		RE	974	9742	97422	0		1697	Indian/Reunion	2016-06-22
935129	Village du Piton	Village du Piton	Piton,Village du Piton	-21.21838	55.3126	P	PPL	RE		RE	974	9744	97413	0		260	Indian/Reunion	2016-06-22
935130	Ruisseau la Vigne	Ruisseau la Vigne		-20.88333	55.61667	H	STM	RE		00				0		-9999	Indian/Reunion	1993-12-22
935131	Ravine de la Veuve	Ravine de la Veuve		-21.23226	55.29804	H	STM	RE		00				0		20	Indian/Reunion	2011-04-19
935132	Verger Hemery	Verger Hemery		-21.36502	55.54687	P	PPL	RE		RE	974	9742	97405	0		82	Indian/Reunion	2016-06-22
935133	Ravine la Verdure	Ravine la Verdure		-20.89147	55.46689	H	STM	RE		00				0		22	Indian/Reunion	2011-04-19
935134	Piton Véra	Piton Vera		-21.11667	55.36667	T	PK	RE		RE	974	9744	97413	0		1889	Indian/Reunion	2016-06-22
935135	Union	Union		-20.99968	55.67142	P	PPL	RE		RE	974	9743	97402	0		57	Indian/Reunion	2016-06-22
935136	Piton des Trous Blancs	Piton des Trous Blancs		-21.16667	55.6	T	PK	RE		RE	974	9743	97406	0		1525	Indian/Reunion	2016-06-22
935137	Ravine du Trou	Ravine du Trou		-21.23874	55.30965	H	STM	RE		00				0		18	Indian/Reunion	2011-04-19
935138	Piton Trois Têtes	Piton Trois Tetes		-21.18301	55.79045	T	PK	RE		RE	974	9743	97419	0		817	Indian/Reunion	2016-06-22
935139	Trois Roches	Trois Roches		-21.04588	55.24972	L	AREA	RE		00				0		232	Indian/Reunion	2011-04-19
935140	Trois Petits Bonhommes	Trois Petits Bonhommes		-21.10185	55.5009	T	MT	RE		RE	974	9743	97421	0		2441	Indian/Reunion	2016-06-22
935141	Trois Mares-les Hauts	Trois Mares-les Hauts		-21.24241	55.51295	P	PPL	RE		RE	974	9742	97422	0		836	Indian/Reunion	2016-06-22
